user_id,group_name,group_type,granted_utc
U001,ALL-Staff,m365,2024-11-16
U001,ENG-All,m365,2025-04-27
U002,ALL-Staff,m365,2024-10-12
U002,SALES-All,m365,2026-03-21
U003,ALL-Staff,m365,2023-11-13
U003,PROD-Deploy,m365,2023-09-21
U004,ALL-Staff,m365,2023-09-10
U004,LEAD-All,m365,2026-02-02
U005,ALL-Staff,m365,2023-03-16
U005,LEAD-All,m365,2026-02-27
U006,ALL-Staff,m365,2025-11-13
U006,ERP-Users,m365,2023-05-07
U007,ALL-Staff,m365,2023-01-25
U007,PC-All,m365,2026-01-30
U008,ALL-Staff,m365,2025-05-24
U008,HRIS-Admins,security,2022-10-14
U008,PC-All,m365,2022-07-11
U009,ALL-Staff,m365,2024-04-27
U009,PC-All,m365,2025-10-21
U009,HRIS-Admins,security,2022-10-10
U010,ALL-Staff,m365,2026-02-18
U010,Logistics-Tools,m365,2026-06-27
U010,OPS-All,m365,2023-12-21
U011,ALL-Staff,m365,2023-07-11
U011,SALES-All,m365,2025-05-06
U012,ALL-Staff,m365,2026-02-26
U012,PC-All,m365,2025-03-03
U012,HRIS-Admins,security,2024-06-20
U013,ALL-Staff,m365,2023-06-30
U013,ENG-All,m365,2022-08-06
U013,GH-Developers,m365,2024-11-04
U014,ALL-Staff,m365,2022-10-27
U014,CRM-Users,m365,2025-12-16
U015,ALL-Staff,m365,2025-11-22
U015,Logistics-Tools,m365,2025-12-09
U016,ALL-Staff,m365,2024-12-16
U016,HRIS-Admins,security,2023-02-24
U017,ALL-Staff,m365,2025-05-26
U017,CRM-Users,m365,2022-09-08
U018,ALL-Staff,m365,2026-04-03
U018,Research-Tools,m365,2026-01-08
U018,COMP-All,m365,2022-12-25
U019,ALL-Staff,m365,2026-07-09
U019,Board-Reports,m365,2024-09-01
U019,LEAD-All,m365,2025-10-22
U020,ALL-Staff,m365,2023-06-13
U020,ENG-All,m365,2022-08-01
U020,GH-Developers,m365,2024-02-22
U021,ALL-Staff,m365,2026-02-12
U021,MKT-All,m365,2022-08-31
U022,ALL-Staff,m365,2024-06-20
U022,PC-All,m365,2023-04-11
U023,ALL-Staff,m365,2025-10-28
U023,Logistics-Tools,m365,2026-04-22
U024,ALL-Staff,m365,2024-07-14
U024,Board-Reports,m365,2025-05-12
U024,LEAD-All,m365,2022-09-19
U025,ALL-Staff,m365,2024-07-22
U025,MKT-All,m365,2023-05-27
U026,ALL-Staff,m365,2025-03-19
U026,Support-Desk,m365,2025-08-18
U026,CS-All,m365,2025-07-19
U027,ALL-Staff,m365,2024-09-04
U027,ENG-All,m365,2024-03-25
U027,PROD-Deploy,m365,2022-10-14
